 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.49898E+01      -0.36719E-05      -0.61054E+00      -0.12459E+01      -0.93573E-01      -0.13889E+00
      0      1       0.11737E+02       0.24928E-05       0.48319E+00       0.39877E+01       0.26361E+00       0.14064E+01
      0      1      -0.95152E+01       0.91058E-07      -0.98222E+00       0.62319E+01      -0.47414E+00       0.24746E+01
      0      1       0.84558E+01       0.45726E-05      -0.57314E+00       0.34701E+01      -0.12549E+00      -0.27820E+01
      0      1       0.14907E+01       0.14743E-05       0.42227E+00      -0.43685E+01       0.58436E-01       0.55239E+00
      0      1       0.11226E+01       0.17274E-05       0.38204E+00      -0.82999E-01      -0.84182E+00       0.93799E+01
      0      1       0.78647E+01       0.15976E-05      -0.21035E+00       0.23984E+01      -0.24059E+00       0.12794E+01
      0      1      -0.10940E+02       0.82518E-06       0.85899E-01      -0.34644E+01      -0.26173E+00      -0.54816E+00
      0      1       0.10228E+02       0.32373E-05       0.44596E+00       0.10417E+01       0.11055E+00      -0.51770E+01
      0      1      -0.91610E+01       0.40259E-05      -0.33108E-01      -0.10463E+02      -0.65661E+00       0.29762E+01
      0      1      -0.71757E+01       0.17665E-05       0.64197E+00      -0.66986E+00       0.25903E+00       0.19428E+01
      0      1      -0.10103E+02      -0.24877E-05      -0.34018E+00      -0.15821E+01       0.14151E+00      -0.39939E+01
      0      1      -0.63676E+01       0.46293E-05       0.26517E+00       0.24235E+01       0.27769E-01       0.22160E+01
      0      1      -0.55576E+01       0.19487E-05      -0.31200E+00       0.12557E+01       0.56307E+00      -0.49824E+01
      0      1       0.35910E+01      -0.31048E-05       0.43574E+00      -0.13080E+01       0.22226E+00       0.11343E+01
      0      1       0.11424E+02      -0.28626E-05       0.22876E+00      -0.53930E+01      -0.25374E+00       0.67202E+00
      0      1      -0.62844E+01      -0.50025E-05       0.93186E-01       0.33054E+01       0.25655E+00      -0.77757E+01
      0      1      -0.77178E+00      -0.36813E-05       0.37075E+00      -0.21101E+01       0.82086E-01      -0.22170E+01
      0      1      -0.61405E+01       0.25080E-05       0.37037E-02      -0.25339E+01      -0.80209E-01       0.19884E+01
      0      1      -0.10030E+02       0.28979E-05      -0.24861E-01       0.32491E+01      -0.67576E+00       0.55045E+01
      0      1      -0.60846E+01       0.23263E-05       0.17361E+00       0.31757E+00      -0.97645E-01       0.12807E+01
      0      1       0.61887E+00       0.32130E-05       0.28288E+00      -0.30972E+01      -0.57152E+00       0.48634E+01
      0      1      -0.21249E+01      -0.11500E-05      -0.71363E-01      -0.16719E+00       0.32684E+00      -0.59189E+01
      0      1      -0.95065E+01      -0.23823E-05      -0.63901E+00       0.20898E+01      -0.18341E+00      -0.18498E+01
      0      1      -0.13668E+01      -0.54147E-06      -0.32772E+00      -0.65364E+01       0.62442E-02       0.11168E+01
      0      1      -0.30067E+01      -0.34241E-05       0.17298E+00      -0.85607E+01      -0.34109E+00       0.54464E+01
      0      1       0.33643E+01      -0.43127E-05      -0.13716E+00      -0.49104E+01       0.16068E+00       0.42079E+01
      0      1       0.15599E+01      -0.19503E-05       0.86587E-01       0.32541E+01       0.84535E-01      -0.10195E+01
      0      1       0.52650E+01      -0.66775E-07      -0.90194E+00       0.63470E+01      -0.22868E+00       0.41503E+01
      0      1       0.22042E+01       0.52497E-05       0.44651E+00       0.72586E+00       0.18396E+00       0.34328E+01
      0      1      -0.18389E+01      -0.37576E-05       0.38070E+00       0.35083E+01       0.22093E+00      -0.42574E+01
      0      1       0.98416E+01      -0.48285E-05      -0.79474E-01      -0.14973E+01       0.11480E+00      -0.12677E+01
      0      1      -0.69145E+01      -0.37253E-05      -0.80075E-01       0.26621E+01       0.14145E+00       0.61661E+00
      0      1       0.68064E+01       0.91518E-06      -0.23805E+00      -0.45127E+01      -0.28581E+00      -0.78970E+00
      0      1       0.28048E+01       0.41960E-05       0.94497E-02       0.10157E+01       0.60530E+00      -0.86128E+01
      0      1      -0.71743E+01      -0.33992E-05      -0.54171E+00       0.19674E+01      -0.49437E+00       0.44033E+01
      0      1      -0.11049E+02       0.34329E-05       0.59394E+00      -0.20915E+01      -0.34726E-01      -0.50447E+01
      0      1       0.97279E+01      -0.24913E-05      -0.24939E+00      -0.14155E+01       0.53979E+00      -0.28983E+01
      0      1       0.59414E+01       0.38326E-05       0.13193E+00      -0.30797E+01       0.91388E-01       0.15581E+01
      0      1       0.54930E+01       0.44533E-05      -0.68712E+00      -0.92870E+00       0.30176E+00      -0.37613E+01
      0      1       0.20614E+01      -0.24128E-05      -0.91408E+00       0.42564E+01      -0.56738E+00       0.22276E+01
      0      1       0.58655E+00      -0.11120E-05      -0.66482E+00       0.32968E+01      -0.51599E-01       0.72847E+00
      0      1      -0.97128E+01       0.60087E-06       0.12919E+00      -0.29383E+00      -0.79761E+00       0.34685E+01
      0      1      -0.11514E+02       0.41440E-05       0.20731E+00      -0.64001E+00      -0.25699E+00       0.95086E+00
      0      1       0.16785E+01       0.33626E-05       0.11825E+00      -0.23775E+01      -0.48816E+00       0.89741E+00
      0      1      -0.54634E+00      -0.89557E-06       0.17851E+00       0.62960E+00       0.18807E+00      -0.56024E+01
      0      1      -0.13039E+01       0.17873E-05      -0.27496E+00       0.11444E-01      -0.58296E-01       0.33302E+01
      0      1       0.11998E+02      -0.43804E-05      -0.34463E+00      -0.17833E+01      -0.66713E+00       0.63075E+01
      0      1      -0.76398E+01       0.45760E-05       0.62467E-01      -0.54138E+01       0.33397E+00       0.64637E+00
      0      1      -0.34084E+01      -0.34558E-05       0.12664E+00      -0.10790E+01      -0.11566E-01      -0.15548E+01
      0      1      -0.81851E+00      -0.40147E-05      -0.31791E-01       0.22502E+01       0.97165E-01      -0.26132E+01
      0      1       0.12009E+02      -0.18377E-05       0.15880E+00       0.13510E+00      -0.68099E+00       0.31042E+00
      0      1       0.10178E+02      -0.22500E-06       0.26590E-01      -0.37291E+01       0.13532E+00      -0.22007E+00
      0      1      -0.17641E+01      -0.23710E-06      -0.69191E-01      -0.22542E+01       0.50074E+00       0.21147E+01
      0      1      -0.58443E+01      -0.33399E-05       0.11102E+00      -0.57550E+01       0.68704E+00       0.18204E+01
      0      1       0.11339E+02       0.39518E-05      -0.99113E-01      -0.86301E+00      -0.66080E+00       0.33646E+01
      0      1       0.61983E+01      -0.18259E-07       0.28745E+00      -0.57410E+00      -0.75397E-01       0.17907E+01
      0      1       0.39627E+01       0.93669E-06       0.24338E+00       0.23029E+01       0.43020E+00       0.21306E+01
      0      1      -0.97900E+01      -0.70106E-06      -0.31542E+00       0.28417E+01      -0.67171E-01      -0.59725E+01
      0      1       0.49629E+01      -0.44885E-05       0.64486E+00      -0.33781E+01       0.13508E+00      -0.22850E+01
      0      1       0.11352E+02       0.38152E-05       0.45620E+00      -0.11580E+01      -0.63723E+00       0.23115E+01
      0      1       0.34518E+01      -0.14036E-05       0.46783E+00       0.20236E+01      -0.46398E+00      -0.20207E+01
      0      1       0.95867E+01      -0.18632E-05      -0.41109E+00      -0.47092E+00       0.20577E+00      -0.77466E+00
      0      1       0.58782E+01      -0.31997E-05      -0.55054E+00      -0.45926E+00      -0.26764E+00       0.31963E+01
      0      1      -0.10307E+02       0.17175E-06       0.43761E+00      -0.33783E+01       0.78873E-01       0.13361E+01
      0      1      -0.89207E+01       0.49788E-05      -0.50750E+00      -0.29037E+01      -0.32597E+00       0.10118E+01
      0      1       0.10254E+02       0.40644E-05       0.25136E-01       0.40539E+01       0.47898E+00      -0.90019E+00
      0      1       0.70738E+01      -0.35891E-05      -0.14813E+00       0.17887E+01      -0.81376E-03       0.29653E+01
      0      1       0.40948E+01      -0.23200E-05       0.38064E+00       0.30780E+01      -0.16673E+00       0.25405E+01
      0      1      -0.48213E+01      -0.40894E-05       0.17427E-01      -0.83593E+01       0.13529E+00       0.17275E+01
      0      1      -0.12259E+02       0.16723E-05      -0.69020E+00       0.47407E+01      -0.78596E+00       0.63526E+01
      0      1      -0.90605E+01       0.28103E-05       0.54803E+00      -0.14647E+01      -0.43781E+00      -0.37255E+00
      0      1      -0.41480E+01      -0.49470E-05       0.21642E+00       0.54037E+01      -0.36357E+00       0.47259E+01
      0      1      -0.45452E+01      -0.47346E-06       0.30560E-01      -0.51073E+00       0.84245E+00      -0.97005E+01
      0      1       0.10587E+02      -0.13504E-05       0.89312E-01       0.94495E+00       0.53720E-01      -0.10381E+01
      0      1       0.72782E+01      -0.20617E-06       0.45276E+00      -0.72923E+01      -0.47765E+00       0.43568E+01
      0      1      -0.28300E+01       0.57199E-06      -0.43149E+00       0.33859E+01      -0.77860E-01       0.27427E+01
      0      1       0.10643E+02       0.23971E-05      -0.65591E+00       0.33902E+01      -0.90233E+00       0.74805E+01
      0      1       0.11365E+02       0.14963E-05      -0.11456E-01      -0.48022E+01       0.30089E+00       0.35920E+00
      0      1      -0.91157E+01       0.49305E-05       0.17352E+00       0.50481E+01      -0.87221E+00       0.39188E+01
      0      1      -0.11150E+02       0.75684E-06      -0.16887E+00       0.29530E+01       0.13535E+00      -0.16933E+01
      0      1      -0.97992E+00       0.29159E-05       0.43372E+00      -0.18955E+01      -0.15757E+00      -0.12184E+00
